2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
60144,Dairy Plains,985,4,958,4,1007,4,956,4,66,TAS
60145,Deddington,1001,5,965,4,1011,5,954,4,85,TAS
60146,Dee,891,1,868,1,905,1,863,1,7,TAS
60147,Deep Bay,937,2,917,2,953,2,965,5,267,TAS
60148,Deloraine,922,2,898,2,933,2,908,2,3035,TAS
60149,Dennes Point,1038,7,1010,7,1019,5,1042,8,55,TAS
60150,Derby (Tas.),942,2,902,2,945,2,874,1,109,TAS
60151,Derwent Bridge,891,1,868,1,905,1,863,1,40,TAS
60152,Derwent Park,885,1,870,1,881,1,901,2,872,TAS
60153,Detention,909,1,894,2,959,2,901,2,35,TAS
60154,Deviot,1044,7,1026,8,1018,5,1050,9,359,TAS
60155,Devon Hills,1076,9,1034,8,1103,10,979,5,434,TAS
60156,Devonport,894,1,876,1,897,1,888,2,14481,TAS
60157,Dilston,1063,9,1021,7,1070,8,1001,7,558,TAS
60158,Doctors Point,891,1,868,1,905,1,863,1,8,TAS
60159,Doctors Rocks,1029,6,984,5,1036,6,959,4,89,TAS
60160,Dodges Ferry,999,5,956,4,999,4,960,5,2646,TAS
60161,Dolphin Sands,987,4,978,5,975,3,989,6,182,TAS
60162,Don,1043,7,993,6,1054,7,948,4,647,TAS
60163,Douglas River,945,2,931,3,959,2,954,4,67,TAS
60165,Dover,931,2,899,2,960,2,887,2,923,TAS
60166,Downlands,1003,5,941,3,990,4,874,1,237,TAS
60167,Dowsing Point,850,1,838,1,873,1,867,1,77,TAS
60168,Dromedary (Tas.),1011,5,959,4,1049,7,930,3,856,TAS
60169,Dulcot,1107,10,1090,10,1096,9,1144,10,242,TAS
60170,Dunalley,949,2,920,2,953,2,909,2,333,TAS
60171,Dunorlan,966,3,960,4,980,3,995,6,145,TAS
60172,Dynnyrne,1028,6,1062,9,944,2,1110,10,1633,TAS
60173,Dysart (Tas.),939,2,906,2,990,4,906,2,252,TAS
60174,Eaglehawk Neck,973,3,953,4,975,3,969,5,422,TAS
60175,East Cam,1037,7,987,6,1078,9,977,5,158,TAS
60176,East Devonport,789,1,791,1,846,1,808,1,4384,TAS
60177,East Launceston,1049,8,1045,9,996,4,1079,10,2270,TAS
60178,East Ridgley,1007,5,945,3,1044,7,888,2,89,TAS
60180,Edgcumbe Beach,942,2,904,2,954,2,887,2,65,TAS
60181,Edith Creek,1019,6,964,4,1063,8,899,2,116,TAS
60182,Egg Lagoon,1036,7,1001,6,1034,6,989,6,27,TAS
60183,Eggs And Bacon Bay,947,2,939,3,940,2,1020,8,124,TAS
60184,Elderslie (Tas.),987,4,955,4,1043,7,939,4,168,TAS
60185,Electrona,991,4,953,4,1003,4,945,4,391,TAS
60186,Elizabeth Town,946,2,930,3,985,3,934,3,299,TAS
60187,Ellendale (Tas.),906,1,896,2,954,2,921,3,285,TAS
60188,Elliott (Tas.),983,4,942,3,1009,5,930,3,355,TAS
60189,Emita,985,4,958,4,971,3,981,6,59,TAS
60190,Emu Heights (Tas.),888,1,867,1,906,1,837,1,182,TAS
60191,Epping Forest,957,3,921,2,976,3,912,2,87,TAS
