SA2_CODE21,0
125011586,POINT (151.04191262852896 -33.86502778257314)
125011587,POINT (151.0260637709897 -33.88325504398942)
125011709,POINT (151.0464008144677 -33.83522783996111)
125011710,POINT (151.0689571986519 -33.83909767859261)
125021477,POINT (151.04748058051183 -33.81007353639875)
125021478,POINT (151.04090986020435 -33.79473682566816)
125021711,POINT (151.05547608192998 -33.774273576880105)
125021712,POINT (151.04113697153429 -33.77402229959364)
125031479,POINT (150.99653467143963 -33.881298780434776)
125031480,POINT (150.97287678802536 -33.873955638989855)
125031481,POINT (151.00411111866066 -33.839573797574836)
125031483,POINT (151.0014958368693 -33.86218820248497)
125031484,POINT (150.967281201738 -33.84461960983802)
125031713,POINT (150.94695696872793 -33.82782834576753)
125031714,POINT (150.98597132786128 -33.833573054889996)
125031715,POINT (150.92126091580937 -33.82375128875931)
125031716,POINT (150.966866868747 -33.824542404669344)
125041489,POINT (151.0061216612329 -33.79761039164311)
125041490,POINT (151.0182440049407 -33.774843298426404)
125041491,POINT (150.99468984177423 -33.78830680573145)
125041493,POINT (150.96984054088475 -33.79227680071611)
125041494,POINT (150.97858265638428 -33.77693727975866)
125041588,POINT (150.94828322851845 -33.803313963257196)
125041589,POINT (150.9779404399505 -33.81397819358945)
125041717,POINT (150.99894279728642 -33.811778826907556)
125041718,POINT (150.99823413602218 -33.823222961917025)
125041719,POINT (151.02806249021273 -33.82471387776364)
126011496,POINT (151.0668967721644 -33.74169048271102)
126011720,POINT (151.08933686426107 -33.767566505654436)
126011721,POINT (151.07059172205908 -33.77251970326749)
126021498,POINT (151.12274439118707 -33.82940535350647)
126021499,POINT (151.1384849488972 -33.829839315564186)
126021500,POINT (151.11724456404775 -33.77875935968109)
126021501,POINT (151.1316572066643 -33.80060644412768)
126021503,POINT (151.08629263858518 -33.808653801398904)
126021590,POINT (151.10788512473397 -33.826810816440386)
126021722,POINT (151.0907676426488 -33.79792170400361)
126021723,POINT (151.08452173865743 -33.78839137465996)
126021724,POINT (151.11427688992416 -33.805659122559504)
126021725,POINT (151.10994756416716 -33.81932207287596)
127011504,POINT (150.88925879911858 -33.91483928395428)
127011505,POINT (150.73876016490993 -33.91712177870815)
127011592,POINT (150.7179832970093 -33.89305734433324)
127011593,POINT (150.84825754098262 -33.88861287353737)
127011594,POINT (150.8698767702905 -33.90295227928239)
127011595,POINT (150.86173915134282 -33.9122152399397)
127011596,POINT (150.85145532289877 -33.935208284896234)
127011597,POINT (150.8356701970176 -33.92687360765058)
127011726,POINT (150.69656775465626 -33.994663830375316)
127011727,POINT (150.77574622551793 -34.01631226665299)
127011728,POINT (150.78195832014228 -33.98021178058322)
127011729,POINT (150.743840564241 -33.990476559669226)
127021509,POINT (150.8795449284933 -33.89321638145225)
127021510,POINT (150.87497600622498 -33.86522675783233)
127021511,POINT (150.9384867256893 -33.899686222627956)
127021512,POINT (150.90538775211053 -33.900252065133145)
127021513,POINT (150.93115232948492 -33.88401029297443)
127021514,POINT (150.87680530913804 -33.87894918610978)
127021515,POINT (150.95398892019918 -33.86885879876066)
127021516,POINT (150.92758932009775 -33.870217961015726)
127021517,POINT (150.89859139740759 -33.86951823246676)
127021518,POINT (150.8178414803094 -33.85073028518279)
127021519,POINT (150.92100625823718 -33.852165292250305)
127021520,POINT (150.9060534109255 -33.8778957187685)
127031522,POINT (150.89617555859445 -33.95195829995525)
127031523,POINT (150.95279270841547 -33.92339330184362)
127031524,POINT (150.9509248397317 -33.989991947682164)
127031599,POINT (150.89787418246505 -33.93366578774473)
127031601,POINT (150.93802002757826 -33.91462330066757)
127031730,POINT (150.85984852309264 -33.96403246372958)
127031731,POINT (150.9228957713746 -33.92679448568984)
127031732,POINT (150.91224365648873 -33.92089828885867)
127031733,POINT (150.87118874222267 -33.94152179438952)
128011529,POINT (151.08536187203322 -34.04464168655448)
128011530,POINT (151.10171366077995 -34.03954115802797)
128011531,POINT (151.10320029888237 -34.012185294991056)
128011602,POINT (151.12490907176337 -34.03597333624626)
128011603,POINT (151.12144742313956 -34.05311080903275)
128011604,POINT (151.20872196496202 -34.03691631471986)
128011605,POINT (151.12029699313345 -34.06603179994276)
128011606,POINT (151.13743062036895 -34.05481200645909)
128021533,POINT (150.97778437095093 -34.1039157999905)
128021534,POINT (151.02611029576917 -33.99340128711591)
128021535,POINT (151.01252060871496 -34.01981630792564)
128021536,POINT (151.0625514278779 -34.011263836104405)
128021538,POINT (151.06103753034733 -34.033893312399414)
128021607,POINT (151.00792417295014 -34.05773779830176)
128021608,POINT (151.04177304415003 -34.04957231167512)
128021609,POINT (151.02997248083744 -34.033485310265846)
