SA2_CODE21,0
102021052,POINT (151.5809860546642 -33.13155683987556)
102021053,POINT (151.49279262036288 -33.35653835987843)
102021054,POINT (151.55341841508312 -33.27158084501349)
102021055,POINT (151.410958991259 -33.30496231996396)
102021056,POINT (151.4511932684532 -33.245518375161794)
102021057,POINT (151.43799201654775 -33.27955363626785)
103011059,POINT (149.63380447585328 -33.41786665804134)
103011060,POINT (149.7754058192957 -33.474694257693244)
103011061,POINT (149.76947308427305 -33.862588218016334)
103011612,POINT (149.55225726267645 -33.45835117193943)
103011613,POINT (149.55462010724378 -33.376517289312815)
103021062,POINT (147.1213006114631 -32.79534349820448)
103021063,POINT (148.64584932662615 -33.78918960537055)
103021064,POINT (148.8628417397864 -33.7346637459731)
103021065,POINT (147.94548853215332 -33.4558814936797)
103021066,POINT (148.02131401875477 -33.88760104496696)
103021067,POINT (148.17739820604032 -33.18285557225239)
103021068,POINT (147.97916918201886 -32.90829336696583)
103021069,POINT (147.053286893986 -33.91794061421966)
103031070,POINT (150.1334489338717 -33.48399172048681)
103031071,POINT (149.98001317901455 -33.32007319305739)
103031072,POINT (149.58832387188633 -32.60837366520231)
103031073,POINT (150.06342936532005 -32.72429422428075)
103031074,POINT (149.64702521942883 -32.4230521288403)
103041076,POINT (149.159310370809 -33.64481561611149)
103041077,POINT (149.11016035302413 -33.301191739625104)
103041078,POINT (149.1295832843496 -33.249271644428205)
103041079,POINT (148.9105444916416 -33.1458376679491)
104011080,POINT (152.92461071752592 -29.679816480207002)
104011081,POINT (152.79879131302823 -29.58227647911316)
104011082,POINT (153.27665010305407 -29.462330619260584)
104021083,POINT (152.70215833913142 -30.4290317376432)
104021084,POINT (153.10456088742103 -30.28311061097918)
104021085,POINT (153.09514008368228 -30.322541552406115)
104021086,POINT (153.05174499122626 -30.219262961103844)
104021087,POINT (152.6516522641582 -30.202144395853182)
104021088,POINT (153.1474660268301 -30.20596863001908)
104021089,POINT (153.02758186918112 -30.381292974573597)
104021090,POINT (152.9897414799688 -30.494509454736097)
104021091,POINT (153.1493545489801 -30.031117461848126)
105011092,POINT (145.7675741428642 -29.996021234205557)
105011093,POINT (145.29254746689287 -31.98580168259476)
105011094,POINT (148.2931060899788 -31.017216421798416)
105011095,POINT (147.07615777054826 -31.438090997909367)
105011096,POINT (148.24451410779034 -29.828649072529515)
105021097,POINT (141.47820513156415 -31.951232641349563)
105021098,POINT (142.55517392462107 -31.183170736463182)
105031099,POINT (149.41707991318634 -31.309169942857256)
105031100,POINT (148.68035204134765 -32.252597579374964)
105031101,POINT (148.62991020163403 -32.2675219547406)
105031102,POINT (148.58333928788403 -32.23223808049419)
105031103,POINT (148.61730097613798 -32.33496055934549)
105031104,POINT (148.58893931623857 -31.63298811224027)
105031105,POINT (147.95356524462335 -32.18313731868052)
105031106,POINT (148.8735402439002 -32.65919361121421)
106011107,POINT (151.33277322166362 -32.711379658952595)
106011108,POINT (151.35960306651063 -32.82911716708748)
106011109,POINT (151.17101485279665 -32.95853127456546)
106011110,POINT (151.62624919615808 -32.347188244491235)
106011111,POINT (151.46639787009923 -32.8030518234136)
106011112,POINT (151.15143638987087 -32.58165330725207)
106011113,POINT (150.93676590733537 -32.60545129548913)
106021114,POINT (151.53614080442978 -32.76038983109863)
106021116,POINT (151.57307025636936 -32.678386839406244)
106021614,POINT (151.59161160082567 -32.76594574002062)
106021615,POINT (151.46654312486203 -32.674093826732154)
106021616,POINT (151.50449718192897 -32.72999617010613)
106021617,POINT (151.6042314693916 -32.73861423302199)
106021618,POINT (151.6754958251908 -32.76692984269317)
106031119,POINT (152.03770392755894 -32.77768893024218)
106031120,POINT (151.99033734744302 -32.75140039539468)
106031121,POINT (152.12773513955665 -32.73249139937077)
106031122,POINT (151.76118755788494 -32.7655398638685)
106031123,POINT (151.71374525486348 -32.66991416512873)
106031124,POINT (152.1144475558914 -32.633706908303125)
106031125,POINT (151.8831921714116 -32.711329377469106)
106041126,POINT (150.89995532405584 -32.31051027153156)
106041127,POINT (150.5163971073648 -32.48803212401286)
106041128,POINT (150.8679025272453 -32.058379263480724)
106041129,POINT (150.64706801579533 -31.98123706470526)
