2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
70242,Southport (NT),957,3,933,3,971,3,906,2,215,NT
70243,Stapleton,979,4,952,4,994,4,931,3,63,NT
70244,Stuart (NT),842,1,898,2,772,1,981,6,459,NT
70245,Stuart Park,1070,9,1074,10,981,3,1071,9,4101,NT
70246,Sturt Plateau,975,3,974,5,975,3,945,4,37,NT
70247,Tablelands (NT),912,2,893,2,933,2,859,1,188,NT
70249,Tanami East,861,1,860,1,863,1,820,1,13,NT
70251,Tennant Creek,791,1,867,1,775,1,954,4,3080,NT
70252,Thamarrurr,407,1,640,1,549,1,705,1,188,NT
70253,The Gap (NT),977,3,995,6,889,1,1037,8,1945,NT
70254,The Gardens (NT),1044,7,1062,9,934,2,1112,10,726,NT
70255,The Narrows (NT),931,2,966,4,873,1,983,6,632,NT
70256,Ti Tree,990,4,974,5,855,1,1058,9,88,NT
70257,Timber Creek,787,1,834,1,741,1,830,1,278,NT
70258,Tindal,1146,10,1080,10,1019,5,1045,9,850,NT
70259,Tipperary (NT),982,4,959,4,954,2,937,3,54,NT
70260,Titjikala,410,1,608,1,495,1,758,1,196,NT
70262,Tiwi,1000,5,1007,7,975,3,1027,8,2511,NT
70263,Tiwi Islands,761,1,823,1,746,1,869,1,194,NT
70264,Top Springs,986,4,992,6,896,1,946,4,11,NT
70265,Tortilla Flats,979,4,952,4,994,4,931,3,37,NT
70266,Tumbling Waters,957,3,933,3,971,3,906,2,254,NT
70267,Umbakumba,516,1,689,1,532,1,826,1,419,NT
70269,Uralla (NT),1056,8,1048,9,1043,7,1035,8,194,NT
70271,Venn,1007,5,990,6,1052,7,938,3,189,NT
70273,Victoria River,986,4,992,6,896,1,946,4,126,NT
70274,Virginia (NT),1057,8,1051,9,1077,9,983,6,1811,NT
70275,Wadeye,457,1,694,1,493,1,942,4,1924,NT
70276,Wagait Beach,985,4,970,5,955,2,1006,7,422,NT
70277,Wagaman,966,3,968,4,954,2,965,5,2023,NT
70279,Wallace Rockhole,480,1,658,1,568,1,797,1,87,NT
70280,Wanguri,1013,5,1022,8,1021,5,1010,7,1836,NT
70281,Warruwi,446,1,661,1,384,1,755,1,432,NT
70282,Warumungu,702,1,767,1,745,1,812,1,146,NT
70283,Weddell,993,4,982,5,1022,5,959,4,61,NT
70284,West Arnhem,463,1,725,1,544,1,936,3,785,NT
70285,White Gums,1001,5,1003,6,947,2,1020,8,182,NT
70287,Willowra,277,1,577,1,360,1,736,1,222,NT
70289,Wilton (NT),355,1,591,1,422,1,796,1,118,NT
70290,Winnellie,1022,6,981,5,917,1,943,4,197,NT
70292,Woodroffe,958,3,945,3,947,2,929,3,3175,NT
70293,Woolner,1094,10,1099,10,1008,4,1094,10,962,NT
70294,Wulagi,1011,5,1005,7,1010,5,996,6,2510,NT
70295,Wurrumiyanga,539,1,724,1,526,1,866,1,1421,NT
70296,Wutunugurra,283,1,583,1,389,1,701,1,143,NT
70297,Yarralin,412,1,635,1,418,1,794,1,283,NT
70298,Yarrawonga (NT),834,1,788,1,835,1,764,1,49,NT
70299,Yirrkala,661,1,794,1,615,1,957,4,657,NT
70300,Yuelamu,313,1,569,1,477,1,723,1,149,NT
70301,Yuendumu,539,1,717,1,585,1,927,3,740,NT
70302,Yulara,1043,7,1009,7,853,1,960,5,853,NT
70303,Zuccoli,1090,10,1074,10,1081,9,1034,8,4131,NT
80002,ACT Remainder - Booth,968,3,932,3,945,2,979,5,64,NT
